Player Name,Position,Nationality,Date Of Birth,Height(cm),Weight(kg)
Enock Mwepu,Midfielder,Zambia,1998-01-01,184.0,76.0
Haydon Roberts,Defender,England,2002-10-05,,
James Furlong,Defender,Ireland,2002-07-06,,
Marc Leonard,Midfielder,Scotland,2001-12-19,,
Evan Ferguson,Forward,Ireland,2004-10-19,,
Odeluga Offiah,Defender,England,2002-10-26,,
Antef Tsoungui,Defender,England,2002-12-30,,
Andrew Moran,Midfielder,Ireland,2003-10-15,,
Thomas McGill,Goalkeeper,England,2000-03-25,,
Marc Cucurella,Defender,Spain,1998-07-22,172.0,66.0
Tudor Baluta,Defender,Romania,1999-03-27,192.0,80.0
Ed Turns,Defender,Wales,2002-10-18,,
Jeremy Sarmiento,Forward,Ecuador,2002-06-16,,
Lars Dendoncker,Defender,Belgium,2001-03-04,,
Moisés Caicedo,Midfielder,Ecuador,2001-02-11,178.0,73.0
Kjell Scherpen,Goalkeeper,Netherlands,2000-01-23,204.0,98.0
Nick Pope,Goalkeeper,England,1992-04-19,191.0,76.0
Will Norris,Goalkeeper,England,1993-12-08,195.0,74.0
Matthew Lowton,Defender,England,1989-09-06,180.0,78.0
Charlie Taylor,Defender,England,1993-09-18,176.0,70.0
James Tarkowski,Defender,England,1992-11-19,185.0,81.0
Ben Mee,Defender,England,1989-09-21,180.0,74.0
Erik Pieters,Defender,Netherlands,1988-07-08,183.0,84.0
Phil Bardsley,Defender,Scotland,1985-06-28,180.0,74.0
Kevin Long,Defender,Ireland,1990-08-18,188.0,83.0
Jack Cork,Midfielder,England,1989-06-25,183.0,70.0
Jóhann Gudmundsson,Midfielder,Iceland,1990-10-27,186.0,78.0
Josh Brownhill,Midfielder,England,1995-12-19,180.0,69.0
Dwight McNeil,Midfielder,England,1999-11-22,183.0,68.0
Dale Stephens,Midfielder,England,1989-12-06,169.0,71.0
Ashley Westwood,Midfielder,England,1990-01-04,175.0,80.0
Ashley Barnes,Forward,England,1989-10-30,186.0,77.0
Jay Rodriguez,Forward,England,1989-07-29,185.0,84.0
Matej Vydra,Forward,Czech,1992-01-05,180.0,71.0
Nathan Collins,Defender,Ireland,2001-04-30,193.0,
Wayne Hennessey,Goalkeeper,Wales,1987-01-24,198.0,90.0
Bobby Thomas,Defender,England,2001-01-30,,
Lewis Richardson,Midfielder,England,2003-07-02,,
Owen Dodgson,Defender,England,2003-03-19,,
Aaron Lennon,Midfielder,England,1987-04-16,165.0,63.0
Maxwel Cornet,Midfielder,Cote,1996-09-27,179.0,69.0
Connor Roberts,Defender,Wales,1995-09-23,175.0,71.0
Mark Helm,Midfielder,England,2001-10-21,,
Joseph McGlynn,Forward,Scotland,2002-09-27,,
Wout Weghorst,Forward,Netherlands,1992-07-08,197.0,84.0
Sam Waller,Goalkeeper,England,2003-09-09,,
Kepa Arrizabalaga,Goalkeeper,Spain,1994-03-10,189.0,84.0
Édouard Mendy,Goalkeeper,Senegal,1992-01-03,197.0,86.0
Antonio Rüdiger,Defender,Germany,1993-03-03,190.0,85.0
Marcos Alonso,Defender,Spain,1990-12-28,188.0,84.0
Andreas Christensen,Defender,Denmark,1996-10-04,187.0,82.0
Thiago Silva,Defender,Brazil,1984-09-22,183.0,79.0
Ben Chilwell,Defender,England,1996-12-21,178.0,77.0
Reece James,Defender,England,1999-08-12,182.0,82.0
César Azpilicueta,Defender,Spain,1989-08-28,178.0,76.0
Jorginho,Midfielder,Italy,1991-12-20,180.0,65.0
N'Golo Kanté,Midfielder,France,1991-03-29,168.0,68.0
Christian Pulisic,Midfielder,United,1998-09-18,172.0,69.0
Mateo Kovacic,Midfielder,Croatia,1994-06-05,178.0,78.0
Mason Mount,Midfielder,England,1999-10-01,178.0,70.0
Hakim Ziyech,Midfielder,Morocco,1993-03-19,180.0,65.0
Kai Havertz,Midfielder,Germany,1999-11-06,188.0,83.0
Timo Werner,Forward,Germany,1996-06-03,180.0,75.0
Callum Hudson-Odoi,Forward,England,2000-07-11,182.0,76.0
Ruben Loftus-Cheek,Midfielder,England,1996-01-23,191.0,88.0
Trevoh Chalobah,Defender,England,1999-05-07,190.0,75.0
Marcus Bettinelli,Goalkeeper,England,1992-05-24,194.0,82.0
Romelu Lukaku,Forward,Belgium,1993-05-13,190.0,93.0
Lucas Bergström,Goalkeeper,Finland,2002-05-09,,
Saúl Ñíguez,Midfielder,Spain,1994-11-21,184.0,76.0
Ross Barkley,Midfielder,England,1993-05-12,189.0,76.0
Malang Sarr,Defender,France,1999-01-23,182.0,73.0
Xavier Mbuyamba,Defender,Netherlands,2001-12-31,,
Teddy Sharman-Lowe,Goalkeeper,England,2003-03-30,189.0,73.0
Harvey Vale,Midfielder,England,2003-11-09,,
Xavier Simons,Midfielder,England,2003-02-20,,
Charlie Webster,Midfielder,England,2004-01-31,,
Lewis Hall,Midfielder,England,2004-08-09,,
Jude Soonsup-Bell,Forward,England,2004-10-01,,
Kenedy,Midfielder,Brazil,1996-08-02,182.0,77.0
Dylan Williams,Defender,England,2003-09-13,,
Jack Butland,Goalkeeper,England,1993-10-03,196.0,95.0
Vicente Guaita,Goalkeeper,Spain,1987-10-01,190.0,81.0
Joel Ward,Defender,England,1989-10-29,188.0,83.0
James Tomkins,Defender,England,1989-03-29,192.0,74.0
Nathaniel Clyne,Defender,England,1991-05-04,175.0,67.0
Tyrick Mitchell,Defender,England,1999-01-09,,
Martin Kelly,Defender,England,1990-04-27,191.0,77.0
Nathan Ferguson,Defender,England,2000-06-10,178.0,74.0
Luka Milivojevic,Midfielder,Serbia,1991-07-04,186.0,80.0
Cheikhou Kouyaté,Midfielder,Senegal,1989-12-21,189.0,83.0
Jeffrey Schlupp,Midfielder,Ghana,1992-12-23,178.0,72.0
James McArthur,Midfielder,Scotland,1987-07-10,178.0,75.0
Eberechi Eze,Midfielder,England,1998-06-29,,
Jairo Riedewald,Midfielder,Netherlands,1996-09-09,182.0,79.0
Jordan Ayew,Forward,Ghana,1991-11-09,182.0,80.0
Wilfried Zaha,Forward,Cote,1992-10-11,180.0,66.0
Christian Benteke,Forward,Belgium,1990-03-12,190.0,83.0
Michael Olise,Midfielder,France,2001-12-12,176.0,
Marc Guéhi,Defender,England,2000-07-13,182.0,82.0
Joachim Andersen,Defender,Denmark,1996-05-31,192.0,90.0
Conor Gallagher,Midfielder,England,2000-06-02,182.0,
Remi Matthews,Goalkeeper,England,1994-10-02,184.0,78.0
Reece Hannam,Defender,England,2000-11-09,,
Jesurun Rak-Sakyi,Midfielder,England,2002-05-10,,
Scott Banks,Forward,Scotland,2001-09-26,,
Will Hughes,Midfielder,England,1995-04-17,185.0,74.0
Odsonne Édouard,Forward,France,1998-01-16,187.0,83.0
Jack Wells-Morrison,Midfielder,England,2004-02-18,,
Jean-Philippe Mateta,Forward,France,1997-06-28,192.0,88.0
Omotayo Adaramola,Defender,Ireland,2003-11-13,,
Jordan Pickford,Goalkeeper,England,1994-07-03,185.0,77.0
Mason Holgate,Defender,England,1996-10-22,184.0,63.0
Michael Keane,Defender,England,1993-11-01,191.0,82.0
Yerry Mina,Defender,Colombia,1994-09-23,195.0,94.0
Ben Godfrey,Defender,England,1998-01-15,183.0,74.0
Séamus Coleman,Defender,Ireland,1988-11-10,177.0,67.0
Allan,Midfielder,Brazil,1991-08-01,173.0,73.0
Fabian Delph,Midfielder,England,1989-11-21,174.0,60.0
Abdoulaye Doucouré,Midfielder,Mali,1993-01-01,184.0,75.0
André Gomes,Midfielder,Portugal,1993-07-30,188.0,84.0
Tom Davies,Midfielder,England,1998-06-30,180.0,70.0
Richarlison,Forward,Brazil,1997-10-05,184.0,83.0
Dominic Calvert-Lewin,Forward,England,1997-03-16,187.0,71.0
Alexander Iwobi,Forward,Nigeria,1996-03-05,180.0,75.0
Jonjoe Kenny,Defender,England,1997-03-15,176.0,67.0
Jarrad Branthwaite,Defender,England,2002-06-27,195.0,82.0
Cenk Tosun,Forward,Turkey,1991-07-06,183.0,78.0
Andros Townsend,Midfielder,England,1991-07-16,181.0,77.0
Asmir Begovic,Goalkeeper,Bosnia,1987-06-20,199.0,101.0
Demarai Gray,Forward,England,1996-06-28,180.0,74.0
Anthony Gordon,Forward,England,2001-02-24,,
Andy Lonergan,Goalkeeper,England,1983-10-19,192.0,87.0
Salomón Rondón,Forward,Venezuela,1989-09-16,186.0,98.0
Lewis Dobbin,Forward,England,2003-03-01,,
Charlie Whitaker,Midfielder,England,2003-09-16,,
Harry Tyrer,Goalkeeper,England,2001-06-12,,
Reece Welch,Defender,England,2003-09-19,,
Tyler Onyango,Midfielder,England,2003-04-03,190.0,
Vitalii Mykolenko,Defender,Ukraine,1999-05-29,180.0,71.0
Nathan Patterson,Defender,Scotland,2001-10-16,183.0,72.0
Anwar El Ghazi,Midfielder,Netherlands,1995-03-05,188.0,90.0
Donny van de Beek,Midfielder,Netherlands,1997-04-18,184.0,76.0
Dele Alli,Midfielder,England,1996-11-04,188.0,76.0
Ryan Astley,Defender,Wales,2001-04-10,,
Isaac Price,Midfielder,Northern,2003-09-26,,
Illan Meslier,Goalkeeper,France,2000-02-03,193.0,74.0
Luke Ayling,Defender,England,1991-08-25,185.0,72.0
Robin Koch,Defender,Germany,1996-07-17,192.0,85.0
Liam Cooper,Defender,Scotland,1991-08-30,180.0,73.0
Diego Llorente,Defender,Spain,1993-08-16,186.0,75.0
Pascal Struijk,Defender,Netherlands,1999-11-08,190.0,
Adam Forshaw,Midfielder,England,1991-08-10,174.0,71.0
Stuart Dallas,Midfielder,Northern,1991-04-19,183.0,81.0
Kalvin Phillips,Midfielder,England,1995-02-12,178.0,72.0
Mateusz Klich,Midfielder,Poland,1990-06-13,183.0,84.0
Jamie Shackleton,Midfielder,England,1999-08-10,168.0,65.0
Patrick Bamford,Forward,England,1993-05-09,185.0,71.0
Tyler Roberts,Forward,Wales,1999-12-01,180.0,75.0
Raphinha,Forward,Brazil,1996-12-14,176.0,68.0
Rodrigo,Forward,Spain,1991-06-03,182.0,77.0
Laurens De Bock,Defender,Belgium,1992-07-11,179.0,74.0
Jack Harrison,Midfielder,England,1996-11-20,175.0,70.0
Junior Firpo,Defender,Spain,1996-08-22,184.0,78.0
Kristoffer Klaesson,Goalkeeper,Norway,2000-11-27,189.0,76.0
Crysencio Summerville,Midfielder,Netherlands,2001-10-30,174.0,
Sam Greenwood,Forward,England,2002-01-26,185.0,
Charlie Cresswell,Defender,England,2002-08-17,,
Joe Gelhardt,Forward,England,2002-04-05,175.0,65.0
Liam McCarron,Midfielder,Scotland,2001-07-03,175.0,
Daniel James,Midfielder,Wales,1997-10-11,171.0,76.0
Stuart McKinstry,Midfielder,Scotland,2002-09-18,,
Leo Fuhr Hjelde,Defender,Norway,2003-08-26,188.0,
Lewis Bate,Midfielder,England,2002-10-28,,
Jack Jenkins,Midfielder,England,2002-03-23,,
Kris Moore,Defender,England,2003-11-13,,
Nohan Kenneh,Midfielder,England,2003-10-01,,
Archie Gray,Midfielder,England,2006-12-03,,
Kasper Schmeichel,Goalkeeper,Denmark,1986-05-11,189.0,89.0
Danny Ward,Goalkeeper,Wales,1993-06-22,191.0,88.0
Eldin Jakupovic,Goalkeeper,Switzerland,1984-02-10,191.0,85.0
James Justin,Defender,England,1998-02-23,183.0,80.0
Wesley Fofana,Defender,France,2000-12-17,190.0,
Çaglar Söyüncü,Defender,Turkey,1996-05-23,185.0,82.0
Jonny Evans,Defender,Northern,1988-03-01,188.0,77.0
Daniel Amartey,Defender,Ghana,1994-12-21,186.0,79.0
Ricardo Pereira,Defender,Portugal,1993-06-10,175.0,70.0
Timothy Castagne,Defender,Belgium,1995-05-12,185.0,80.0
Luke Thomas,Defender,England,2001-10-06,,
Youri Tielemans,Midfielder,Belgium,1997-07-05,176.0,72.0
James Maddison,Midfielder,England,1996-11-23,175.0,73.0
Marc Albrighton,Midfielder,England,1989-11-18,175.0,74.0
Harvey Barnes,Midfielder,England,1997-09-12,174.0,66.0
Hamza Choudhury,Midfielder,England,1997-01-10,178.0,64.0
Nampalys Mendy,Midfielder,Senegal,1992-06-23,167.0,73.0
Wilfred Ndidi,Midfielder,Nigeria,1996-12-16,183.0,74.0
Jamie Vardy,Forward,England,1987-11-01,179.0,74.0
Kelechi Iheanacho,Forward,Nigeria,1996-03-10,185.0,82.0
Ayoze Pérez,Forward,Spain,1993-07-29,178.0,72.0
Patson Daka,Forward,Zambia,1998-09-10,183.0,71.0
Boubakary Soumaré,Midfielder,France,1999-02-27,188.0,70.0
Ryan Bertrand,Defender,England,1989-05-08,179.0,85.0
Kiernan Dewsbury-Hall,Midfielder,England,1998-06-09,,
Jannik Vestergaard,Defender,Denmark,1992-03-08,199.0,98.0
Ben Nelson,Defender,England,2004-03-18,,
Thanawat Suengchitthawon,Midfielder,Thailand,2000-08-01,,
Ademola Lookman,Forward,Nigeria,1997-10-20,174.0,71.0
Wanya Marçal-Madivadua,Midfielder,Portugal,2002-10-19,,
Oliver Ewing,Midfielder,Wales,2003-03-01,,
Lewis Brunt,Midfielder,England,2000-06-11,,
Sammy Braybrooke,Midfielder,England,2004-12-03,,
Will Alves,Forward,England,2005-04-02,,
Chituru Odunze,Goalkeeper,United,2002-10-14,200.0,
Alisson,Goalkeeper,Brazil,1992-02-10,191.0,91.0
Adrián,Goalkeeper,Spain,1987-03-01,190.0,80.0
Caoimhin Kelleher,Goalkeeper,Ireland,1998-11-23,178.0,74.0
Virgil van Dijk,Defender,Netherlands,1991-08-07,193.0,92.0
Joseph Gomez,Defender,England,1997-05-23,188.0,77.0
Konstantinos Tsimikas,Defender,Greece,1996-12-05,178.0,77.0
Andrew Robertson,Defender,Scotland,1994-11-03,178.0,64.0
Joel Matip,Defender,Cameroon,1991-08-08,195.0,90.0
Trent Alexander-Arnold,Defender,England,1998-07-10,175.0,69.0
Fabinho,Midfielder,Brazil,1993-10-23,188.0,78.0
Thiago,Midfielder,Spain,1991-11-04,174.0,70.0
James Milner,Midfielder,England,1986-04-01,175.0,70.0
Naby Keïta,Midfielder,Guinea,1995-10-02,172.0,64.0
Jordan Henderson,Midfielder,England,1990-06-17,182.0,67.0
Alex Oxlade-Chamberlain,Midfielder,England,1993-08-15,180.0,70.0
Curtis Jones,Midfielder,England,2001-01-30,185.0,75.0
Roberto Firmino,Forward,Brazil,1991-02-10,181.0,76.0
Sadio Mané,Forward,Senegal,1992-10-04,175.0,69.0
Mohamed Salah,Forward,Egypt,1992-06-15,175.0,71.0
Diogo Jota,Forward,Portugal,1996-04-12,178.0,68.0
Divock Origi,Forward,Belgium,1995-04-18,185.0,75.0
Loris Karius,Goalkeeper,Germany,1993-06-22,189.0,87.0
Harvey Elliott,Midfielder,England,2003-04-04,170.0,
Takumi Minamino,Forward,Japan,1995-01-16,174.0,68.0
Ibrahima Konaté,Defender,France,1999-05-25,194.0,95.0
James Balagizi,Midfielder,England,2003-09-20,,
Tyler Morton,Midfielder,England,2002-10-31,,
Conor Bradley,Midfielder,Northern,2003-09-07,,
Kaide Gordon,Forward,England,2004-05-10,,
Marcelo Pitaluga,Goalkeeper,Brazil,2002-12-20,192.0,77.0
Owen Beck,Defender,Wales,2002-09-08,,
Elijah Dixon-Bonner,Midfielder,England,2001-01-01,,
Harvey Blair,Forward,England,2003-09-14,,
James Norris,Defender,England,2003-04-04,,
Max Woltman,Forward,England,2003-08-20,,
Jarell Quansah,Defender,England,2003-01-29,,
Billy Koumetio,Defender,France,2002-11-14,,
Isaac Mabaya,Midfielder,England,2004-09-22,,
Melkamu Frauendorf,Midfielder,Germany,2004-12-01,,
Luis Díaz,Forward,Colombia,1997-01-13,178.0,65.0
Harvey Davies,Goalkeeper,England,2003-03-09,,
Zack Steffen,Goalkeeper,United,1995-02-04,191.0,86.0
Ederson,Goalkeeper,Brazil,1993-08-17,188.0,86.0
Kyle Walker,Defender,England,1990-05-28,178.0,70.0
Rúben Dias,Defender,Portugal,1997-05-14,186.0,76.0
John Stones,Defender,England,1994-05-28,188.0,70.0
Nathan Aké,Defender,Netherlands,1995-02-18,180.0,75.0
Oleksandr Zinchenko,Defender,Ukraine,1996-12-15,175.0,64.0
Aymeric Laporte,Defender,Spain,1994-05-27,191.0,86.0
Benjamin Mendy,Defender,France,1994-07-17,185.0,85.0
João Cancelo,Defender,Portugal,1994-05-27,182.0,74.0
Ilkay Gündogan,Midfielder,Germany,1990-10-24,180.0,80.0
Rodri,Midfielder,Spain,1996-06-22,191.0,82.0
Kevin De Bruyne,Midfielder,Belgium,1991-06-28,181.0,68.0
Bernardo Silva,Midfielder,Portugal,1994-10-08,173.0,64.0
Fernandinho,Midfielder,Brazil,1985-04-05,179.0,67.0
Phil Foden,Midfielder,England,2000-05-28,171.0,70.0
Raheem Sterling,Forward,England,1994-08-12,170.0,69.0
Gabriel Jesus,Forward,Brazil,1997-03-04,175.0,73.0
Riyad Mahrez,Forward,Algeria,1991-02-21,179.0,67.0
Scott Carson,Goalkeeper,England,1985-03-09,190.0,76.0
Jack Grealish,Midfielder,England,1995-10-09,175.0,68.0
Cole Palmer,Midfielder,England,2002-06-05,,
Cieran Slicker,Goalkeeper,Scotland,2002-09-15,,
Roméo Lavia,Midfielder,Belgium,2004-06-01,,
Luke Mbete,Defender,England,2003-09-18,,
Joshua Wilson-Esbrand,Defender,England,2002-12-26,,
CJ Egan-Riley,Defender,England,2003-02-01,,
James McAtee,Midfielder,England,2002-10-18,,
Samuel Edozie,Forward,England,2003-01-28,,
Kayky,Forward,Brazil,2003-11-06,175.0,68.0
Oscar Bobb,Midfielder,Norway,2003-12-07,,
Liam Delap,Forward,England,2003-08-02,,
David de Gea,Goalkeeper,Spain,1990-07-11,192.0,76.0
Dean Henderson,Goalkeeper,England,1997-12-03,188.0,85.0
Victor Lindelöf,Defender,Sweden,1994-07-17,187.0,80.0
Eric Bailly,Defender,Cote,1994-12-04,187.0,77.0
Phil Jones,Defender,England,1992-02-21,180.0,71.0
Harry Maguire,Defender,England,1993-05-03,194.0,100.0
Luke Shaw,Defender,England,1995-12-07,185.0,75.0
Alex Telles,Defender,Brazil,1992-12-15,181.0,71.0
Aaron Wan-Bissaka,Defender,England,1997-11-26,183.0,72.0
Paul Pogba,Midfielder,France,1993-03-15,191.0,84.0
Fred,Midfielder,Brazil,1993-05-03,169.0,64.0
Bruno Fernandes,Midfielder,Portugal,1994-08-09,179.0,69.0
Nemanja Matic,Midfielder,Serbia,1988-01-08,194.0,85.0
Scott McTominay,Midfielder,Scotland,1996-08-12,193.0,88.0
Hannibal Mejbri,Midfielder,Tunisia,2003-01-21,177.0,
Edinson Cavani,Forward,Uruguay,1987-02-14,184.0,71.0
Marcus Rashford,Forward,England,1997-10-31,180.0,70.0
Mason Greenwood,Forward,England,2001-01-10,181.0,70.0
Anthony Elanga,Forward,Sweden,2002-04-27,178.0,
Shola Shoretire,Forward,England,2004-02-02,170.0,
Diogo Dalot,Defender,Portugal,1999-03-18,183.0,76.0
Jesse Lingard,Midfielder,England,1992-12-15,175.0,62.0
Juan Mata,Midfielder,Spain,1988-04-28,170.0,63.0
Tom Heaton,Goalkeeper,England,1986-04-15,188.0,85.0
Lee Grant,Goalkeeper,England,1983-01-27,193.0,83.0
Facundo Pellistri,Midfielder,Uruguay,2001-12-20,175.0,69.0
Jadon Sancho,Forward,England,2000-03-25,180.0,76.0
Raphaël Varane,Defender,France,1993-04-25,191.0,81.0
Cristiano Ronaldo,Forward,Portugal,1985-05-02,187.0,83.0
Bjorn Hardley,Defender,Netherlands,2002-12-19,,
Charlie Savage,Midfielder,Wales,2003-02-05,,
Zidane Iqbal,Midfielder,Iraq,2003-04-27,,
Martin Dúbravka,Goalkeeper,Slovakia,1989-01-15,190.0,83.0
Karl Darlow,Goalkeeper,England,1990-08-10,190.0,88.0
Mark Gillespie,Goalkeeper,England,1992-03-27,192.0,83.0
Daniel Langley,Goalkeeper,England,2000-12-28,,
Ciaran Clark,Defender,Ireland,1989-09-26,185.0,88.0
Paul Dummett,Defender,Wales,1991-09-26,183.0,82.0
Fabian Schär,Defender,Switzerland,1991-12-20,188.0,84.0
Jamaal Lascelles,Defender,England,1993-11-11,188.0,89.0
Jamal Lewis,Defender,Northern,1998-01-25,178.0,70.0
Emil Krafth,Defender,Sweden,1994-02-08,184.0,83.0
Federico Fernández,Defender,Argentina,1989-02-21,190.0,83.0
Javier Manquillo,Defender,Spain,1994-05-05,178.0,76.0
Jonjo Shelvey,Midfielder,England,1992-02-27,184.0,80.0
Matt Ritchie,Midfielder,Scotland,1989-10-09,172.0,76.0
Isaac Hayden,Midfielder,England,1995-03-22,185.0,79.0
Ryan Fraser,Midfielder,Scotland,1994-02-24,163.0,70.0
Jacob Murphy,Midfielder,England,1995-02-24,179.0,74.0
Miguel Almirón,Midfielder,Paraguay,1994-10-02,174.0,70.0
Sean Longstaff,Midfielder,England,1997-10-30,180.0,65.0
