Club Name,Season,Player Name,Date Of Birth
Brighton and Hove Albion,2021/22,Adam Webster,1995-04-01
Brighton and Hove Albion,2021/22,Lewis Dunk,1991-11-21
Brighton and Hove Albion,2021/22,Joël Veltman,1992-01-15
Brighton and Hove Albion,2021/22,Yves Bissouma,1996-08-30
Brighton and Hove Albion,2021/22,Alexis Mac Allister,1998-12-24
Brighton and Hove Albion,2021/22,Pascal Groß,1991-06-15
Brighton and Hove Albion,2021/22,Adam Lallana,1988-10-05
Brighton and Hove Albion,2021/22,Jakub Moder,1999-07-04
Brighton and Hove Albion,2021/22,Steven Alzate,1998-08-09
Brighton and Hove Albion,2021/22,Solly March,1994-07-20
Brighton and Hove Albion,2021/22,Neal Maupay,1996-08-14
Brighton and Hove Albion,2021/22,Leandro Trossard,1994-04-12
Brighton and Hove Albion,2021/22,Danny Welbeck,1990-11-26
Brighton and Hove Albion,2021/22,Shane Duffy,1992-01-01
Brighton and Hove Albion,2021/22,Enock Mwepu,1998-01-01
Brighton and Hove Albion,2021/22,Haydon Roberts,2002-10-05
Brighton and Hove Albion,2021/22,James Furlong,2002-07-06
Brighton and Hove Albion,2021/22,Marc Leonard,2001-12-19
Brighton and Hove Albion,2021/22,Evan Ferguson,2004-10-19
Brighton and Hove Albion,2021/22,Odeluga Offiah,2002-10-26
Brighton and Hove Albion,2021/22,Antef Tsoungui,2002-12-30
Brighton and Hove Albion,2021/22,Andrew Moran,2003-10-15
Brighton and Hove Albion,2021/22,Thomas McGill,2000-03-25
Brighton and Hove Albion,2021/22,Marc Cucurella,1998-07-22
Brighton and Hove Albion,2021/22,Tudor Baluta,1999-03-27
Brighton and Hove Albion,2021/22,Ed Turns,2002-10-18
Brighton and Hove Albion,2021/22,Jeremy Sarmiento,2002-06-16
Brighton and Hove Albion,2021/22,Lars Dendoncker,2001-03-04
Brighton and Hove Albion,2021/22,Moisés Caicedo,2001-02-11
Brighton and Hove Albion,2021/22,Kjell Scherpen,2000-01-23
Burnley,2021/22,Nick Pope,1992-04-19
Burnley,2021/22,Will Norris,1993-12-08
Burnley,2021/22,Matthew Lowton,1989-09-06
Burnley,2021/22,Charlie Taylor,1993-09-18
Burnley,2021/22,James Tarkowski,1992-11-19
Burnley,2021/22,Ben Mee,1989-09-21
Burnley,2021/22,Erik Pieters,1988-07-08
Burnley,2021/22,Phil Bardsley,1985-06-28
Burnley,2021/22,Kevin Long,1990-08-18
Burnley,2021/22,Jack Cork,1989-06-25
Burnley,2021/22,Jóhann Gudmundsson,1990-10-27
Burnley,2021/22,Josh Brownhill,1995-12-19
Burnley,2021/22,Dwight McNeil,1999-11-22
Burnley,2021/22,Dale Stephens,1989-12-06
Burnley,2021/22,Ashley Westwood,1990-01-04
Burnley,2021/22,Ashley Barnes,1989-10-30
Burnley,2021/22,Jay Rodriguez,1989-07-29
Burnley,2021/22,Matej Vydra,1992-01-05
Burnley,2021/22,Nathan Collins,2001-04-30
Burnley,2021/22,Wayne Hennessey,1987-01-24
Burnley,2021/22,Bobby Thomas,2001-01-30
Burnley,2021/22,Lewis Richardson,2003-07-02
Burnley,2021/22,Owen Dodgson,2003-03-19
Burnley,2021/22,Aaron Lennon,1987-04-16
Burnley,2021/22,Maxwel Cornet,1996-09-27
Burnley,2021/22,Connor Roberts,1995-09-23
Burnley,2021/22,Mark Helm,2001-10-21
Burnley,2021/22,Joseph McGlynn,2002-09-27
Burnley,2021/22,Wout Weghorst,1992-07-08
Burnley,2021/22,Sam Waller,2003-09-09
Chelsea,2021/22,Kepa Arrizabalaga,1994-03-10
Chelsea,2021/22,Édouard Mendy,1992-01-03
Chelsea,2021/22,Antonio Rüdiger,1993-03-03
Chelsea,2021/22,Marcos Alonso,1990-12-28
Chelsea,2021/22,Andreas Christensen,1996-10-04
Chelsea,2021/22,Thiago Silva,1984-09-22
Chelsea,2021/22,Ben Chilwell,1996-12-21
Chelsea,2021/22,Reece James,1999-08-12
Chelsea,2021/22,César Azpilicueta,1989-08-28
Chelsea,2021/22,Jorginho,1991-12-20
Chelsea,2021/22,N'Golo Kanté,1991-03-29
Chelsea,2021/22,Christian Pulisic,1998-09-18
Chelsea,2021/22,Mateo Kovacic,1994-06-05
Chelsea,2021/22,Mason Mount,1999-10-01
Chelsea,2021/22,Hakim Ziyech,1993-03-19
Chelsea,2021/22,Kai Havertz,1999-11-06
Chelsea,2021/22,Timo Werner,1996-06-03
Chelsea,2021/22,Callum Hudson-Odoi,2000-07-11
Chelsea,2021/22,Ruben Loftus-Cheek,1996-01-23
Chelsea,2021/22,Trevoh Chalobah,1999-05-07
Chelsea,2021/22,Marcus Bettinelli,1992-05-24
Chelsea,2021/22,Romelu Lukaku,1993-05-13
Chelsea,2021/22,Lucas Bergström,2002-05-09
Chelsea,2021/22,Saúl Ñíguez,1994-11-21
Chelsea,2021/22,Ross Barkley,1993-05-12
Chelsea,2021/22,Malang Sarr,1999-01-23
Chelsea,2021/22,Xavier Mbuyamba,2001-12-31
Chelsea,2021/22,Teddy Sharman-Lowe,2003-03-30
Chelsea,2021/22,Harvey Vale,2003-11-09
Chelsea,2021/22,Xavier Simons,2003-02-20
Chelsea,2021/22,Charlie Webster,2004-01-31
Chelsea,2021/22,Lewis Hall,2004-08-09
Chelsea,2021/22,Jude Soonsup-Bell,2004-10-01
Chelsea,2021/22,Kenedy,1996-08-02
Chelsea,2021/22,Dylan Williams,2003-09-13
Crystal Palace,2021/22,Jack Butland,1993-10-03
Crystal Palace,2021/22,Vicente Guaita,1987-10-01
Crystal Palace,2021/22,Joel Ward,1989-10-29
Crystal Palace,2021/22,James Tomkins,1989-03-29
Crystal Palace,2021/22,Nathaniel Clyne,1991-05-04
Crystal Palace,2021/22,Tyrick Mitchell,1999-01-09
Crystal Palace,2021/22,Martin Kelly,1990-04-27
Crystal Palace,2021/22,Nathan Ferguson,2000-06-10
Crystal Palace,2021/22,Luka Milivojevic,1991-07-04
Crystal Palace,2021/22,Cheikhou Kouyaté,1989-12-21
Crystal Palace,2021/22,Jeffrey Schlupp,1992-12-23
Crystal Palace,2021/22,James McArthur,1987-07-10
Crystal Palace,2021/22,Eberechi Eze,1998-06-29
Crystal Palace,2021/22,Jairo Riedewald,1996-09-09
Crystal Palace,2021/22,Jordan Ayew,1991-11-09
Crystal Palace,2021/22,Wilfried Zaha,1992-10-11
Crystal Palace,2021/22,Christian Benteke,1990-03-12
Crystal Palace,2021/22,Michael Olise,2001-12-12
Crystal Palace,2021/22,Marc Guéhi,2000-07-13
Crystal Palace,2021/22,Joachim Andersen,1996-05-31
Crystal Palace,2021/22,Conor Gallagher,2000-06-02
Crystal Palace,2021/22,Remi Matthews,1994-10-02
Crystal Palace,2021/22,Reece Hannam,2000-11-09
Crystal Palace,2021/22,Jesurun Rak-Sakyi,2002-05-10
Crystal Palace,2021/22,Scott Banks,2001-09-26
Crystal Palace,2021/22,Will Hughes,1995-04-17
Crystal Palace,2021/22,Odsonne Édouard,1998-01-16
Crystal Palace,2021/22,Jack Wells-Morrison,2004-02-18
Crystal Palace,2021/22,Jean-Philippe Mateta,1997-06-28
Crystal Palace,2021/22,Omotayo Adaramola,2003-11-13
Everton,2021/22,Jordan Pickford,1994-07-03
Everton,2021/22,Mason Holgate,1996-10-22
Everton,2021/22,Michael Keane,1993-11-01
Everton,2021/22,Yerry Mina,1994-09-23
Everton,2021/22,Ben Godfrey,1998-01-15
Everton,2021/22,Séamus Coleman,1988-11-10
Everton,2021/22,Allan,1997-03-03
Everton,2021/22,Fabian Delph,1989-11-21
Everton,2021/22,Abdoulaye Doucouré,1993-01-01
Everton,2021/22,André Gomes,1993-07-30
Everton,2021/22,Tom Davies,1998-06-30
Everton,2021/22,Richarlison,1997-10-05
Everton,2021/22,Dominic Calvert-Lewin,1997-03-16
Everton,2021/22,Alexander Iwobi,1996-03-05
Everton,2021/22,Jonjoe Kenny,1997-03-15
Everton,2021/22,Jarrad Branthwaite,2002-06-27
Everton,2021/22,Cenk Tosun,1991-07-06
Everton,2021/22,Andros Townsend,1991-07-16
Everton,2021/22,Asmir Begovic,1987-06-20
Everton,2021/22,Demarai Gray,1996-06-28
Everton,2021/22,Anthony Gordon,2001-02-24
Everton,2021/22,Andy Lonergan,1983-10-19
Everton,2021/22,Salomón Rondón,1989-09-16
Everton,2021/22,Lewis Dobbin,2003-03-01
Everton,2021/22,Charlie Whitaker,2003-09-16
Everton,2021/22,Harry Tyrer,2001-06-12
Everton,2021/22,Reece Welch,2003-09-19
Everton,2021/22,Tyler Onyango,2003-04-03
Everton,2021/22,Vitalii Mykolenko,1999-05-29
Everton,2021/22,Nathan Patterson,2001-10-16
Everton,2021/22,Anwar El Ghazi,1995-03-05
Everton,2021/22,Donny van de Beek,1997-04-18
Everton,2021/22,Dele Alli,1996-11-04
Everton,2021/22,Ryan Astley,2001-04-10
Everton,2021/22,Isaac Price,2003-09-26
Leeds United,2021/22,Illan Meslier,2000-02-03
Leeds United,2021/22,Luke Ayling,1991-08-25
Leeds United,2021/22,Robin Koch,1996-07-17
Leeds United,2021/22,Liam Cooper,1991-08-30
Leeds United,2021/22,Diego Llorente,1993-08-16
Leeds United,2021/22,Pascal Struijk,1999-11-08
Leeds United,2021/22,Adam Forshaw,1991-08-10
Leeds United,2021/22,Stuart Dallas,1991-04-19
Leeds United,2021/22,Kalvin Phillips,1995-02-12
Leeds United,2021/22,Mateusz Klich,1990-06-13
Leeds United,2021/22,Jamie Shackleton,1999-08-10
Leeds United,2021/22,Patrick Bamford,1993-05-09
Leeds United,2021/22,Tyler Roberts,1999-12-01
Leeds United,2021/22,Raphinha,1996-12-14
Leeds United,2021/22,Rodrigo,1991-06-03
Leeds United,2021/22,Laurens De Bock,1992-07-11
Leeds United,2021/22,Jack Harrison,1996-11-20
Leeds United,2021/22,Junior Firpo,1996-08-22
Leeds United,2021/22,Kristoffer Klaesson,2000-11-27
Leeds United,2021/22,Crysencio Summerville,2001-10-30
Leeds United,2021/22,Sam Greenwood,2002-01-26
Leeds United,2021/22,Charlie Cresswell,2002-08-17
Leeds United,2021/22,Joe Gelhardt,2002-04-05
Leeds United,2021/22,Liam McCarron,2001-07-03
Leeds United,2021/22,Daniel James,1997-10-11
Leeds United,2021/22,Stuart McKinstry,2002-09-18
Leeds United,2021/22,Leo Fuhr Hjelde,2003-08-26
Leeds United,2021/22,Lewis Bate,2002-10-28
Leeds United,2021/22,Jack Jenkins,2002-03-23
Leeds United,2021/22,Kris Moore,2003-11-13
Leeds United,2021/22,Nohan Kenneh,2003-10-01
Leeds United,2021/22,Archie Gray,2006-12-03
Leicester City,2021/22,Kasper Schmeichel,1986-05-11
Leicester City,2021/22,Danny Ward,1991-11-12
Leicester City,2021/22,Eldin Jakupovic,1984-02-10
Leicester City,2021/22,James Justin,1998-02-23
Leicester City,2021/22,Wesley Fofana,2000-12-17
Leicester City,2021/22,Çaglar Söyüncü,1996-05-23
Leicester City,2021/22,Jonny Evans,1988-03-01
Leicester City,2021/22,Daniel Amartey,1994-12-21
Leicester City,2021/22,Ricardo Pereira,1993-06-10
Leicester City,2021/22,Timothy Castagne,1995-05-12
Leicester City,2021/22,Luke Thomas,2001-10-06
Leicester City,2021/22,Youri Tielemans,1997-07-05
Leicester City,2021/22,James Maddison,1996-11-23
Leicester City,2021/22,Marc Albrighton,1989-11-18
Leicester City,2021/22,Harvey Barnes,1997-09-12
Leicester City,2021/22,Hamza Choudhury,1997-01-10
Leicester City,2021/22,Nampalys Mendy,1992-06-23
Leicester City,2021/22,Wilfred Ndidi,1996-12-16
Leicester City,2021/22,Jamie Vardy,1987-11-01
Leicester City,2021/22,Kelechi Iheanacho,1996-03-10
Leicester City,2021/22,Ayoze Pérez,1993-07-29
Leicester City,2021/22,Patson Daka,1998-09-10
Leicester City,2021/22,Boubakary Soumaré,1999-02-27
Leicester City,2021/22,Ryan Bertrand,1989-05-08
Leicester City,2021/22,Kiernan Dewsbury-Hall,1998-06-09
Leicester City,2021/22,Jannik Vestergaard,1992-03-08
Leicester City,2021/22,Ben Nelson,2004-03-18
Leicester City,2021/22,Thanawat Suengchitthawon,2000-08-01
Leicester City,2021/22,Ademola Lookman,1997-10-20
Leicester City,2021/22,Wanya Marçal-Madivadua,2002-10-19
Leicester City,2021/22,Oliver Ewing,2003-03-01
Leicester City,2021/22,Lewis Brunt,2000-06-11
Leicester City,2021/22,Sammy Braybrooke,2004-12-03
Leicester City,2021/22,Will Alves,2005-04-02
Leicester City,2021/22,Chituru Odunze,2002-10-14
Liverpool,2021/22,Alisson,1992-02-10
Liverpool,2021/22,Adrián,1987-03-01
Liverpool,2021/22,Caoimhin Kelleher,1998-11-23
Liverpool,2021/22,Virgil van Dijk,1991-08-07
Liverpool,2021/22,Joseph Gomez,1997-05-23
Liverpool,2021/22,Konstantinos Tsimikas,1996-12-05
Liverpool,2021/22,Andrew Robertson,1994-11-03
Liverpool,2021/22,Joel Matip,1991-08-08
Liverpool,2021/22,Trent Alexander-Arnold,1998-07-10
Liverpool,2021/22,Fabinho,1993-10-23
Liverpool,2021/22,Thiago,1991-11-04
Liverpool,2021/22,James Milner,1986-04-01
Liverpool,2021/22,Naby Keïta,1995-10-02
Liverpool,2021/22,Jordan Henderson,1990-06-17
Liverpool,2021/22,Alex Oxlade-Chamberlain,1993-08-15
Liverpool,2021/22,Curtis Jones,2001-01-30
Liverpool,2021/22,Roberto Firmino,1991-02-10
Liverpool,2021/22,Sadio Mané,1992-10-04
Liverpool,2021/22,Mohamed Salah,1992-06-15
Liverpool,2021/22,Diogo Jota,1996-04-12
Liverpool,2021/22,Divock Origi,1995-04-18
Liverpool,2021/22,Loris Karius,1993-06-22
Liverpool,2021/22,Harvey Elliott,2003-04-04
Liverpool,2021/22,Takumi Minamino,1995-01-16
Liverpool,2021/22,Ibrahima Konaté,1999-05-25
Liverpool,2021/22,James Balagizi,2003-09-20
Liverpool,2021/22,Tyler Morton,2002-10-31
Liverpool,2021/22,Conor Bradley,2003-09-07
Liverpool,2021/22,Kaide Gordon,2004-05-10
Liverpool,2021/22,Marcelo Pitaluga,2002-12-20
Liverpool,2021/22,Owen Beck,2002-09-08
Liverpool,2021/22,Elijah Dixon-Bonner,2001-01-01
Liverpool,2021/22,Harvey Blair,2003-09-14
Liverpool,2021/22,James Norris,2003-04-04
Liverpool,2021/22,Max Woltman,2003-08-20
Liverpool,2021/22,Jarell Quansah,2003-01-29
Liverpool,2021/22,Billy Koumetio,2002-11-14
Liverpool,2021/22,Isaac Mabaya,2004-09-22
Liverpool,2021/22,Melkamu Frauendorf,2004-12-01
Liverpool,2021/22,Luis Díaz,1997-01-13
Liverpool,2021/22,Harvey Davies,2003-03-09
Manchester City,2021/22,Zack Steffen,1995-02-04
Manchester City,2021/22,Ederson,1993-08-17
Manchester City,2021/22,Kyle Walker,1990-05-28
Manchester City,2021/22,Rúben Dias,1997-05-14
Manchester City,2021/22,John Stones,1994-05-28
Manchester City,2021/22,Nathan Aké,1995-02-18
Manchester City,2021/22,Oleksandr Zinchenko,1996-12-15
Manchester City,2021/22,Aymeric Laporte,1994-05-27
Manchester City,2021/22,Benjamin Mendy,1994-07-17
Manchester City,2021/22,João Cancelo,1994-05-27
Manchester City,2021/22,Ilkay Gündogan,1990-10-24
Manchester City,2021/22,Rodri,1996-06-22
Manchester City,2021/22,Kevin De Bruyne,1991-06-28
Manchester City,2021/22,Bernardo Silva,1994-10-08
Manchester City,2021/22,Fernandinho,1985-04-05
Manchester City,2021/22,Phil Foden,2000-05-28
Manchester City,2021/22,Raheem Sterling,1994-08-12
Manchester City,2021/22,Gabriel Jesus,1997-03-04
Manchester City,2021/22,Riyad Mahrez,1991-02-21
Manchester City,2021/22,Scott Carson,1985-03-09
Manchester City,2021/22,Jack Grealish,1995-10-09
Manchester City,2021/22,Cole Palmer,2002-06-05
Manchester City,2021/22,Cieran Slicker,2002-09-15
Manchester City,2021/22,Roméo Lavia,2004-06-01
Manchester City,2021/22,Luke Mbete,2003-09-18
Manchester City,2021/22,Joshua Wilson-Esbrand,2002-12-26
Manchester City,2021/22,CJ Egan-Riley,2003-02-01
Manchester City,2021/22,James McAtee,2002-10-18
Manchester City,2021/22,Samuel Edozie,2003-01-28
Manchester City,2021/22,Kayky,2003-11-06
Manchester City,2021/22,Oscar Bobb,2003-12-07
Manchester City,2021/22,Liam Delap,2003-08-02
Manchester United,2021/22,David de Gea,1990-07-11
Manchester United,2021/22,Dean Henderson,1997-12-03
Manchester United,2021/22,Victor Lindelöf,1994-07-17
Manchester United,2021/22,Eric Bailly,1994-12-04
Manchester United,2021/22,Phil Jones,1992-02-21
Manchester United,2021/22,Harry Maguire,1993-05-03
Manchester United,2021/22,Luke Shaw,1995-12-07
Manchester United,2021/22,Alex Telles,1992-12-15
Manchester United,2021/22,Aaron Wan-Bissaka,1997-11-26
Manchester United,2021/22,Paul Pogba,1993-03-15
Manchester United,2021/22,Fred,1993-05-03
Manchester United,2021/22,Bruno Fernandes,1994-08-09
Manchester United,2021/22,Nemanja Matic,1988-01-08
Manchester United,2021/22,Scott McTominay,1996-08-12
Manchester United,2021/22,Hannibal Mejbri,2003-01-21
Manchester United,2021/22,Edinson Cavani,1987-02-14
Manchester United,2021/22,Marcus Rashford,1997-10-31
Manchester United,2021/22,Mason Greenwood,2001-01-10
Manchester United,2021/22,Anthony Elanga,2002-04-27
Manchester United,2021/22,Shola Shoretire,2004-02-02
Manchester United,2021/22,Diogo Dalot,1999-03-18
Manchester United,2021/22,Jesse Lingard,1992-12-15
Manchester United,2021/22,Juan Mata,1988-04-28
Manchester United,2021/22,Tom Heaton,1986-04-15
Manchester United,2021/22,Lee Grant,1983-01-27
Manchester United,2021/22,Facundo Pellistri,2001-12-20
Manchester United,2021/22,Jadon Sancho,2000-03-25
Manchester United,2021/22,Raphaël Varane,1993-04-25
Manchester United,2021/22,Cristiano Ronaldo,1985-05-02
Manchester United,2021/22,Bjorn Hardley,2002-12-19
Manchester United,2021/22,Charlie Savage,2003-02-05
Manchester United,2021/22,Zidane Iqbal,2003-04-27
Newcastle United,2021/22,Martin Dúbravka,1989-01-15
Newcastle United,2021/22,Karl Darlow,1990-08-10
Newcastle United,2021/22,Mark Gillespie,1992-03-27
Newcastle United,2021/22,Daniel Langley,2000-12-28
Newcastle United,2021/22,Ciaran Clark,1989-09-26
Newcastle United,2021/22,Paul Dummett,1991-09-26
Newcastle United,2021/22,Fabian Schär,1991-12-20
Newcastle United,2021/22,Jamaal Lascelles,1993-11-11
Newcastle United,2021/22,Jamal Lewis,1998-01-25
Newcastle United,2021/22,Emil Krafth,1994-02-08
Newcastle United,2021/22,Federico Fernández,1989-02-21
Newcastle United,2021/22,Javier Manquillo,1994-05-05
Newcastle United,2021/22,Jonjo Shelvey,1992-02-27
Newcastle United,2021/22,Matt Ritchie,1989-10-09
Newcastle United,2021/22,Isaac Hayden,1995-03-22
Newcastle United,2021/22,Ryan Fraser,1994-02-24
Newcastle United,2021/22,Jacob Murphy,1995-02-24
Newcastle United,2021/22,Miguel Almirón,1994-10-02
Newcastle United,2021/22,Sean Longstaff,1997-10-30
Newcastle United,2021/22,Joelinton,1996-08-14
Newcastle United,2021/22,Allan Saint-Maximin,1997-12-03
Newcastle United,2021/22,Dwight Gayle,1989-10-17
Newcastle United,2021/22,Callum Wilson,1992-02-27
Newcastle United,2021/22,Joseph Willock,1999-08-20
Newcastle United,2021/22,Kieran Trippier,1990-09-19
Newcastle United,2021/22,Chris Wood,1991-07-12
Newcastle United,2021/22,Bruno Guimarães,1997-11-16
Newcastle United,2021/22,Matt Targett,1995-09-18
Newcastle United,2021/22,Dan Burn,1992-09-05
Newcastle United,2021/22,Lucas De Bolle,2002-10-22
Norwich City,2021/22,Tim Krul,1988-03-04
Norwich City,2021/22,Michael McGovern,1984-12-07
Norwich City,2021/22,Max Aarons,2000-04-01
Norwich City,2021/22,Sam Byram,1993-09-16
Norwich City,2021/22,Grant Hanley,1991-11-20
Norwich City,2021/22,Christoph Zimmermann,1993-12-01
Norwich City,2021/22,Andrew Omobamidele,2002-06-23
Norwich City,2021/22,Lukas Rupp,1991-08-01
Norwich City,2021/22,Kieran Dowell,1997-10-10
Norwich City,2021/22,Przemyslaw Placheta,1998-03-23
Norwich City,2021/22,Jacob Sørensen,1998-03-03
Norwich City,2021/22,Kenny McLean,1992-08-01
Norwich City,2021/22,Teemu Pukki,1990-03-29
Norwich City,2021/22,Adam Idah,2001-11-02
Norwich City,2021/22,Milot Rashica,1996-06-28
Norwich City,2021/22,Angus Gunn,1996-01-22
Norwich City,2021/22,Ben Gibson,1993-01-15
Norwich City,2021/22,Dimitris Giannoulis,1995-10-17
Norwich City,2021/22,Billy Gilmour,2001-11-06
Norwich City,2021/22,Pierre Lees-Melou,1993-05-25
Norwich City,2021/22,Joshua Sargent,2000-02-20
Norwich City,2021/22,Christos Tzolis,2002-01-30
Norwich City,2021/22,Brandon Williams,2000-03-09
Norwich City,2021/22,Mathias Normann,1996-05-28
Norwich City,2021/22,Ozan Kabak,2000-03-25
Norwich City,2021/22,Jonathan Tomkinson,2002-11-04
Norwich City,2021/22,Jonathan Rowe,2003-04-30
Norwich City,2021/22,Jon McCracken,2000-05-24
Norwich City,2021/22,Liam Gibbs,2002-12-16
Norwich City,2021/22,Abu Kamara,1997-01-04
Norwich City,2021/22,Tony Springett,2002-09-22
Southampton,2021/22,Alex McCarthy,1989-03-12
Southampton,2021/22,Harry Lewis,1997-12-20
Southampton,2021/22,Fraser Forster,1988-03-17
Southampton,2021/22,Kyle Walker-Peters,1997-04-13
Southampton,2021/22,Jack Stephens,1994-01-27
Southampton,2021/22,Mohammed Salisu,1999-04-17
Southampton,2021/22,Jan Bednarek,1996-12-04
Southampton,2021/22,Oriol Romeu,1991-09-24
Southampton,2021/22,James Ward-Prowse,1994-01-11
Southampton,2021/22,Nathan Redmond,1994-06-03
Southampton,2021/22,Moussa Djenepo,1998-06-15
Southampton,2021/22,Stuart Armstrong,1992-03-30
Southampton,2021/22,William Smallbone,2000-02-21
Southampton,2021/22,Nathan Tella,1999-05-07
Southampton,2021/22,Ibrahima Diallo,1999-08-03
Southampton,2021/22,Che Adams,1996-07-13
Southampton,2021/22,Yan Valery,1999-02-22
Southampton,2021/22,Mohamed Elyounoussi,1994-04-08
Southampton,2021/22,Shane Long,1987-01-22
Southampton,2021/22,Theo Walcott,1989-03-16
Southampton,2021/22,Romain Perraud,1997-09-22
Southampton,2021/22,Valentino Livramento,2002-12-11
